channel,in_weight,out_weight,unique_inbound_channels,unique_outbound_channels,unique_outbound_bots
a123kyat,60,193,6,20,0
a3actadditacto,1,4,1,4,0
abelsmusiclib,1,0,1,0,1
abhinav_jain35,0,1,0,1,0
abmnthr,10,5,2,1,0
abusat_760,3,6,1,4,0
acefairgamesunion,0,3,0,2,1
acessovipexclussivo,0,1,0,1,0
achadinhoadaeli_0,0,0,0,0,1
achadosdashopee10,2,2,1,1,2
actiondramammsub,0,1,0,1,2
afinsdanet,0,0,0,0,1
aho_film,328,332,1,3,0
ahwazmovie,1,3,1,3,8
ai_deeplearning,2,2,1,1,0
akmcollection123,379,354,5,15,1
alanzaya66c,72,240,4,15,1
alexeeeeey,1,1,1,1,0
alijahon_savdo_markazi,94,47,2,1,0
alirezasadeghiyann,5,6,1,2,1
all_japanese_drama_hindi,2,23,2,7,1
allmoviesmmsub112,349,137,1,6,0
allwishme,0,1,0,1,0
alphadl,0,2,0,1,1
alsbaahiq,2,2,1,1,0
alscienceupdates,62,31,2,1,1
amen_modeling,1,1,1,1,0
amllinkcolletion,19,272,5,11,2
amorkseries,4,520,2,17,0
andoridgames66,0,1,0,1,0
android1818,0,14,0,1,0
ani_flix,6,19,3,13,0
anidlws,0,0,0,0,1
animationtvshows,3,3,1,1,0
anime4u_byaoi,46,14,4,1,2
anime_in_hindi_pro,0,0,0,0,1
anime_shojo,0,3,0,2,0
anime_tron,12,14,4,6,0
anime_world_territory,0,1,0,1,1
animeatk,0,97,0,4,0
animebyreadingmanhwa26,0,11,0,9,0
animedekhocom,0,0,0,0,2
animegraphics2,0,11,0,1,0
animemmuser,3,178,2,10,0
animemmuser2,123,166,6,6,0
animemmuser3,27,103,4,5,0
animemmuserlinkcollection,10,170,5,5,0
animemyanmarlolipop,2,341,1,10,1
animes_del_mund0,3,6,1,3,0
animes_plus_latino,0,1,0,1,0
animestertv,0,0,0,0,1
animeunnamedmemory,1,1,1,1,0
animezarea,0,10,0,8,0
animezey,1,1,1,1,2
animostlk,1,1,1,1,0
animworlddl,0,12,0,6,2
animworldraw,2,8,1,4,2
aniplus,0,1,0,1,2
anne_with_an_e,0,1,0,1,0
aonechannel1414,55,11,5,1,1
apkeditorpr00,0,1,0,1,0
appduny,2,7,1,5,8
arashfouladvand,22,11,2,1,0
aryan_production,8,7,2,2,0
ashchannel030,0,3,0,2,0
ashchannel034,0,1,0,1,0
ashkoreaorg15,0,1,0,1,0
ashmovie001,5,2,1,1,0
asianamor,15,516,8,17,0
asilmedia_tarjima_kinolar,0,1,0,1,0
atracose,61,73,1,7,0
awaqiethiopia,5,17,1,4,1
awmanga,24,1,8,1,1
awnews,0,4,0,2,0
baesuzybrasil,1,2,1,2,0
baesuzyparcerias,0,4,0,4,4
bahodirmahmud,1,2,1,1,1
bangcskzbr,0,1,0,1,1
bangla_dubbed_drama,3,116,1,18,2
bangtan7plus,1,1,1,1,1
barmetomengvipserielist,396,264,3,2,0
barmetomvipenglishserie4,686,197,7,3,0
bas_karo_henry_hindi,1,2,1,2,0
bass_musics2,0,11,0,1,0
bbpoints,1,0,1,0,2
beatkingfc,1,3,1,3,0
beautiful_haven,0,2,0,1,0
beautiful_status,0,2,0,1,0
ben10_jujutsukaisen_demon_slayer,2,16,2,10,0
bestmoviez_1,0,0,0,0,1
betainfoen,0,2,0,2,0
betterxcloud,1,1,1,1,0
beyblade_burst_saga_hindi,5,7,5,7,0
beyblade_hindi,5,7,5,7,0
beyblade_movies_hindi,5,7,5,7,0
beywheelz_hindi,5,7,5,7,0
bgdfraud,0,0,0,0,1
bigeggsub2,32,80,2,6,0
biggyanpathshala,1,32,1,4,2
bigwinagentkhin7,2,1,2,1,0
bigwinonlinemonye,22,14,2,3,5
bilim_bu_qudrat,0,0,0,0,1
biranimation,0,59,0,1,0
bkm_korean_drama_hindi,2,1,2,1,0
blackcloveraw,20,28,10,14,1
blackcloveraw_archive,21,26,10,13,0
blackpinknewsandvideos,0,2,0,1,0
blackpinkvideosmmsub,0,8,0,2,0
blanimationmainchannel,29,14,2,8,0
bleach_channel,0,3,0,3,1
blmainchannel,45,414,2,9,0
blogsbydiaz,2,2,2,2,2
blskychannel120,10,114,3,20,1
bluelockakm,0,85,0,7,0
bobzytheking,19,273,1,8,0
boxmidia,2,0,2,0,1
breakfreeentertainment0,0,5,0,3,2
breaking_bad_breakingbad_01,0,2,0,1,0
brianlovethailand,57,56,2,1,0
browsetechs,0,1,0,1,5
c_drama_series8,1,2,1,1,0
caaanddy,3,525,1,18,0
canaisegrupos,0,0,0,0,2
canaldosachadinhosvirais,2,4,2,2,0
canalprogramaavante,1,1,1,1,0
captured,0,0,0,0,10
cartoongram23,0,4,0,4,1
cartoontamilan,2,7,1,5,1
cbcdrnasmi,8,4,2,1,0
ceyloncartoon,1,6,1,2,0
cha_ang,2,569,2,20,0
channel_csc,21,251,2,18,0
channeljmmsub008,28,105,1,14,3
channelstar99,87,29,3,1,0
chemexpertayassirofficial,70,45,2,1,0
chibebinm,0,0,0,0,1
cinama_herfeyi,0,3,0,1,1
cinecoletivo,0,0,0,0,1
cinema_freak,0,4,0,2,3
cinemalivrehd,0,0,0,0,1
cinemaroom,12,1,12,1,0
cinemayathra,6,12,1,2,0
clubmmchannel,236,188,4,1,0
cm_variety,0,89,0,7,0
cmainchannel,50,379,2,3,0
cnamafar30,0,1,0,1,0
compreonlinebr,0,0,0,0,1
contest,5,0,4,0,1
contest_ru,0,2,0,1,0
continenciaoamor,0,0,0,0,1
coursekinba,42,114,4,7,1
crackedsoftwarepc,0,0,0,0,1
cricketgroupextra,61,52,2,2,0
cricketgroupextraclips,60,50,3,3,0
cseedge,10,17,2,10,0
culpa_mia_nik,0,1,0,1,0
cursos_platzi_udemy,0,242,0,2,0
cursosgratisonline2025,38,242,2,2,0
cycleclasshsc25,6,20,2,5,0
daddyfinnstore,10,12,5,3,0
daddyfinnzstore,5,12,5,3,0
dark_iuci,2,10,1,8,1
dcnewsbr,0,1,0,1,0
deltagamingstore,129,99,3,2,1
demonslayer_movie,0,0,0,0,3
dertyuiocvbnmgo44,0,32,0,3,2
designers,0,0,0,0,1
desmosmastery,4,3,2,1,0
deutschweb,0,9,0,2,0
digimon_xros_wars,1,2,1,2,0
digisevaportaltelegram,0,1,0,1,0
dinosaurlove2004,6,103,3,13,0
dipsxdreams,2,1,2,1,0
dirtroaddiscussion,1,5,1,4,0
dj689buffalom9,106,210,1,3,2
dj_amoo_movies_hd,0,2,0,2,0
documentary20,0,0,0,0,1
dopekiller_0000,0,1,0,1,0
doraemon_in_hindi_tamil_telugu,2,16,2,12,0
dragonkingvip,234,237,2,3,0
dramaseriesfan1,0,5,0,2,0
dramawithshiva,20,7,5,4,1
duo99channel,96,24,4,1,0
durov,1,2,1,2,0
dwsdramahindi,2,6,2,2,1
e_money_master,1,2,1,2,8
eastbrook_fantasy,2,37,2,5,1
eastbrook_healer,2,66,2,10,0
eastbrook_normal,6,74,4,11,0
eastbrooksharing,1,2,1,1,2
echaat_extra,31,30,2,1,1
edemy251,4,2,2,1,0
elearnlk,0,7,0,7,2
elyurtumidifoundation,1,0,1,0,1
emmersivelearning,7,10,2,3,0
empenadasdehentai,2,39,1,1,0
emscanschannel,502,254,3,4,0
englishmovie200,0,37,0,5,1
eniahd,0,35,0,1,0
eniahd_official,239,204,2,1,0
epgnews,5,5,1,1,1
ethicomputer,60,85,2,6,2
everyone_lovesme,0,22,0,8,1
evkus,4,2,2,2,0
family_therapists,9,10,3,2,0
fantasycrickettips1,1,1,1,1,0
fanyar22,44,240,4,15,1
farskore,1,1,1,1,0
fast_racing_f1,1,7,1,5,0
fate_aw,16,25,8,12,1
felixskzbr,0,1,0,1,0
filmak20,0,1,0,1,2
filmbollywood,0,1,0,1,1
filmeeh1,0,0,0,0,1
filmg,0,3,0,1,0
filmora9,0,1,0,1,4
filmseven_asli7,4,8,1,5,0
filmy_pvr,3,4,3,2,0
fivefeetapartfilm,0,55,0,1,1
footballvipclubmm,4,71,1,1,0
formula1_race_leader,0,6,0,5,0
free347,0,0,0,0,1
free_pc_games_channel,0,0,0,0,1
freemmsubmovies,1,15,1,5,0
friends_uncut,1,1,1,1,0
gameaw,10,11,10,5,0
garde_nia,0,3,0,3,0
gb_fm_og_whatsapps,0,1,0,1,0
geekshare,0,1,0,1,2
getmediaindex,1,0,1,0,4
ghost_at_school_in_hindi_x,1,2,1,2,0
gledos_microblogging,0,0,0,0,1
global_internet_cafe,30,30,1,1,0
go_pvt,2,1,2,1,0
goblin4563,84,472,15,15,0
gold8channel,204,100,3,2,0
goldenplus9slotchannel,12,6,2,1,1
golshifteiran,0,0,0,0,1
gopichand_telugu_movies,0,5,0,5,3
hagemaru_in_hindi,1,2,1,2,0
haikalforinternatinalinvestment,6,2,3,1,0
haikyuuaw,8,19,8,8,1
happycartoon77,0,460,0,4,0
happymovie3channel,0,420,0,5,0
harukalovestoku,1,10,1,7,0
hermeserenatobrasil,0,5,0,3,0
herryfan,13,263,5,8,0
herrymoviecity007,150,243,2,7,0
herrymovingchannel,0,256,0,7,0
hildafarsi,0,0,0,0,1
hindianimeverse,1,1,1,1,0
hindii_anime,2,2,2,2,0
homiladorlikvaonalik,1,5,1,2,0
horrornodrive,2,6,1,2,0
hscbatch2026p,176,94,3,12,2
hv_cartoons_telugu_2,0,0,0,0,2
icoolztricks,2,2,1,1,0
idaten_jump_hindi_x,1,2,1,2,0
imperioresiliente,0,0,0,0,2
inamkamal2,4,4,1,1,0
inazuma_eleven_hindi,1,4,1,4,0
indiamovie4,0,50,0,5,4
indycarhistory,42,47,1,3,1
ingliztili_tilini_organamiz,4,52,1,3,5
insidetelegram,2,4,1,3,3
iosshortcut,2,2,1,1,0
iraqi_movies,0,2,0,2,0
ishigamidesu,2,1,2,1,1
iyouport,9,9,1,1,2
iznabrazil,0,0,0,0,1
ja_cada,3,3,1,1,0
javanfilm,0,0,0,0,3
jesusasportas,0,1,0,1,0
jimmyfallo,1,2,1,2,0
jkbosegov,0,2,0,2,0
jkoreanlovermmsub,16,135,2,8,4
jojo_aw,10,27,5,14,1
jp555onlinegame,16,8,2,1,0
jsbtvseriesfilms,0,1,0,1,0
jsbtvserieslinks,1,1,1,1,0
jyzchannelselling,7,10,2,6,0
k20promods,1,2,1,2,0
k_drama_serie,0,30,0,5,2
k_seriescolletion123,53,450,14,13,0
ka_projects,0,0,0,0,3
kamenridermmsubvk,2,136,1,4,2
kanaa_kaanum_kalangal_s03_tamil,1,16,1,1,0
kawaii388official,160,40,4,1,0
kdrama_links,0,3,0,2,1
kdramacoclletion,219,508,18,16,0
kdramacollection2,70,450,18,17,0
kemeropportunities,50,26,2,2,0
khabartv5,78,308,3,4,0
kiiikiiibrasil,0,3,0,3,1
kim_taehyungir,0,0,0,0,1
kimi_to_boku,0,1,0,1,1
kimyoojung,0,1,0,1,0
kingmovienit,0,2,0,2,2
kingtvorg,0,0,0,0,1
kkaifenxiang,0,4,0,4,5
kloversmyanmar,13,201,2,15,2
kmovie_channel,2,5,2,2,0
kmovieszone7,1,66,1,5,1
knewsparceiros2,0,1,0,1,3
komodehame,1,1,1,1,0
kompyuter_akademiyasi,0,2,0,2,6
kora_diamonds_store,5,5,3,2,0
koreanchinesedramahub,0,1,0,1,0
koreandrama_hin,78,77,2,3,0
kpopvideos_link,1,6,1,3,0
kseries_amor,3,472,2,13,0
kseriesdrama1_1,13,510,3,16,0
kshow18,1,21,1,5,0
kspeedcute,1,0,1,0,1
kurdsubtitlee,0,1,0,1,0
kuroko_basketballs,0,1,0,1,0
kyoteshin2,9,504,5,14,0
laadygaga,2,2,1,1,0
lalingua_italiana,26,28,1,2,2
lamentoftheriverimmortal_1,107,412,6,17,3
lamorimpromos,0,1,0,1,0
lcgfx,0,1,0,1,0
le_frasi_italiane,0,2,0,1,0
learningforkid,2,3,1,2,0
leo_game_shop_1,2,1,2,1,0
lesserafimbr,0,0,0,0,2
lettalkaboutsomething0,1,2,1,1,0
life_and_love_quotes,12,5,4,2,0
linemovie,4,4,1,1,0
loovetimeee2,0,9,0,3,1
lovechemistryvk,3,0,3,0,1
loveclubb,0,1,0,1,1
lovemovei1,3,6,3,6,0
lovemovie_anime,3,3,3,2,0
lovemovie_anime_ads,1,0,1,0,1
lovemovie_children,3,6,3,6,0
lovemovie_korea,3,6,3,6,0
luckandwinlottery,40,60,2,2,0
lucky999slotof,2,2,1,1,1
lucky_man_hindi_dub,1,2,1,2,0
luckystarofficial1,30,26,3,2,0
lunomoviez,0,2,0,2,1
luxanp6,0,8,0,4,0
madongseokmoviemmsub,1,41,1,8,0
magicboxmoviechannel,0,2,0,1,0
mahdi_edt,3,1,1,1,0
mahdi_movies,1,9,1,2,0
maheshbabu_telugu_movies,6,5,6,5,1
mahvarehd,370,128,3,3,0
mamadeals1,15,15,1,1,0
manchu_manoj_telugu_movies,0,5,0,5,3
mangadescargas3,1,7,1,4,1
mantiqiy_savollar_va_javoblar,1,6,1,4,1
mary_juaana,2,2,1,2,0
masterofphysics2025,0,11,0,6,0
math_genius_with_arm,54,46,3,4,0
mathwithxasan,1,4,1,4,1
maximilianpopov,2,2,2,2,0
maynmar777,48,6,8,1,0
mechanics2025,2,8,1,4,0
medicalcodingjob,0,1,0,1,0
melomovies,0,2,0,2,6
meme_tron,0,12,0,6,0
mercadocriptobrasil,0,2,0,2,2
metatraderinficadores,0,3,0,1,0
milionariodigital,0,2,0,1,0
mkdoramas,0,1,0,1,1
mkmoviesmmlinkcollection,86,462,5,19,1
mm989officalchannel,158,339,2,17,2
mm_movieschannel,21,472,1,16,3
mmherryjob,0,357,0,8,0
mmsubtt,0,522,0,8,0
mongamovies,0,36,0,1,0
monthlykdrama,13,450,4,13,0
montmovie,0,0,0,0,4
moonchannel1,4,425,3,4,0
moonchannel2,423,123,2,3,0
moveilinkbdlite,0,1,0,1,0
movie_moon24,0,0,0,0,2
moviehype,0,0,0,0,1
moviemart200,1,140,1,6,3
moviemmsub99,0,24,0,1,0
movieoplus,0,0,0,0,1
moviescountrynewchannel,1,399,1,9,2
moving174,2,549,2,18,0
mr_film78,2,2,2,2,0
mr_rico_store,36,26,2,1,0
ms_giveway_club,0,1,0,1,5
msonemovies,0,1,0,1,0
muhammedcomputertechnology,112,221,1,14,1
multi_fandomkpop,0,2,0,2,1
multilevelrecord,0,3,0,1,2
mundodoshacks,0,1,0,1,4
mundoovnis,0,0,0,0,1
my_gf_is_alien_s02_hindi,4,18,2,5,0
myanmarseriessongoing,2,53,2,5,2
myanmarsubmovie310,10,389,4,12,1
myanmarsubmovie3101,36,342,5,15,1
myanmarsubmovie31019,80,364,4,12,1
myanmarsubmovie3101999,829,209,5,14,1
myanmarsubtitlesmovielinkonly_1,2,205,2,13,0
mydemonmmsub23,19,471,5,12,0
myo_zaw_htay_link,4,43,1,2,0
myokoko2020157,131,2057,2,16,1
myokokochannel,19,2562,2,15,0
mzhvip_link,37,2,2,2,0
namib_kdrama_engsub,0,2,0,2,0
narcos_seasons,0,1,0,1,0
nasondasdorockoficial,0,5,0,3,0
nayeonbr,0,2,0,2,2
netflexstream,0,6,0,1,0
netflix_web_series_tamil,2,38,1,7,0
neweybarn,0,3,0,3,0
newkoreandramahindi7,26,19,3,5,0
newsfute,1,1,1,1,1
nfrealmusiconly,0,2,0,1,0
ngngweo,110,10,11,1,2
nightmoviee_tv,65,65,1,1,2
nikhil_telugu_movies,0,5,0,5,3
nithin_telugu_movies,0,5,0,5,1
noblebiology,28,16,2,1,0
nocopyrightmovies,0,1,0,1,0
novaboxnews,2,1,1,1,0
novamaxstore,0,2,0,1,0
ntxbrchannel,1,1,1,1,0
nulltestergh,3,4,1,2,0
number11link,2,22,2,4,2
nutinmyhouse,1,1,1,1,0
oc4al,0,40,0,6,0
olegadodasmentes,0,0,0,0,1
onedirection_ira,0,2,0,2,0
onehighschool_heros,9,253,2,10,2
onichananimemyanmar2,0,0,0,0,2
onlineconversationschool_film,0,14,0,4,0
onlineconversationschool_music,0,21,0,6,0
ourblues_m,2,410,1,16,3
ownanimation,1,4,1,4,0
pacificocean01,1,1,1,1,1
palmeirasarquivo,0,1,0,1,0
peakyblinders_iran,0,1,0,1,0
peliculasespanolfree,0,6,0,2,2
piratelinkcollection,8,43,2,9,0
pitlanewalk,1,14,1,4,0
pmcvideo,0,6,0,5,16
pokemon_in_hindi_tamil_telugu,3,21,3,15,1
ppmyanmar89,1,4,1,3,3
predator_vs_alien_official,4,4,1,1,0
prideandprejudic,12,18,1,5,0
prohitec,1,3,1,3,0
psiredge,11,17,2,6,0
psychology_university,62,59,2,2,0
psychologymovies,0,2,0,1,0
q66share,223,227,1,2,0
quarantinesquad69,0,0,0,0,1
quatterfinel,0,88,0,1,0
r5kkoreaongoing,4,42,2,4,4
raeespashtomoveis,23,111,1,12,2
ragna_crimson_dub,0,17,0,8,0
rainbowdramachannel,1,140,1,11,0
raospr,0,4,0,3,0
re_monsterr,0,12,0,5,0
review_thae_movies,0,1,0,1,0
reviewolny,49,249,2,13,1
reyohoho,0,7,0,4,0
rk_daily_movie,0,1,0,1,5
romancemovies_ir,57,2,2,1,1
runningmanmmlink,1,570,1,8,1
ruucinema,1,8,1,6,0
s1600t,1,1,1,1,0
s_prring,2,486,2,16,0
salondeholmes_1,4,202,2,13,5
samyesliki,0,6,0,6,0
sanabrasii,0,2,0,2,1
sat_street,1,1,1,1,3
satestforall,1,4,1,2,0
saudavelconexao,0,1,0,1,1
scienceeagle,1,84,1,17,0
secanseziba,0,4,0,1,0
seequeer,2,2,1,1,0
segredos_nossos,0,0,0,0,1
selesera,56,64,2,16,2
senameememno,0,0,0,0,1
senpaianimemm,281,268,3,11,1
senpaicomplete,74,543,2,21,1
sermoviechannel,0,0,0,0,1
sethdistro,0,1,0,1,0
severiukhin1,0,2,0,2,0
sgstorys,0,0,0,0,3
shadow_movie23,1,1,1,1,0
sharealiyun,0,0,0,0,2
shinkdramachannel,42,140,2,10,0
shomatv2,47,61,3,4,0
shortkats,2,2,1,1,1
shwecasinoofficialchannel,293,293,1,1,1
shwemoe57,120,50,4,3,0
simplegrammar,0,15,0,5,0
sinaezzati_ir,0,0,0,0,1
sinhala_movies,0,1,0,1,0
sinhlacartoon,0,14,0,13,6
sitmgacombinedmaths,50,43,2,2,0
slmoviegood,5,358,2,3,0
sltvapp,0,4,0,3,0
smp_karting,9,9,1,1,0
solo_levelingaw,4,18,4,9,1
sololevelingmyanmarsub,11,62,1,2,0
sonhadora1,241,241,1,1,0
status_doamor,0,0,0,0,1
stemwithmurad,6,16,2,6,1
stopgof1,0,0,0,0,1
subscenelk,14,18,1,3,7
superridertoku,0,6,0,4,0
suryatelugu_movies,0,5,0,5,3
tasvirjahanijanebi,3,3,1,1,0
tatullyarace,2,2,2,2,0
teacher_uzb,0,1,0,1,1
teammm159,138,321,2,18,1
teatromusicalacervo,0,2,0,2,0
techcartoontamil70,1,3,1,3,0
tecnodrives,1,1,1,1,0
telebetmm77,14,14,2,2,0
tgintro,0,2,0,1,1
thaidrama0091,21,272,3,5,0
thaiuniversemainchannel,106,419,2,5,0
tharntypeblseries1,0,18,0,7,0
the_front_door,0,1,0,1,0
the_kingdom_of_ruin_in_hindi_dub,0,1,0,1,0
the_weekndtw,0,1,0,1,1
thebalabama,0,6,0,6,0
thegroove360,1,1,1,1,0
theologyandgeopolitics,0,4,0,4,0
theprisonerofbeauty_m,96,291,4,13,4
theriyalaaa,0,119,0,4,0
tianyifc,123,246,1,2,1
tif_network,0,0,0,0,1
tokushareoficial,171,312,1,4,0
tokyoghoulaw,10,27,5,14,1
trackandplaychannel,1,22,1,4,4
treasure_official,0,12,0,1,0
trendinganimeofficial,0,2,0,1,0
tt_game_shop,90,45,2,1,0
tudoumpoucoficial,0,1,0,1,4
turnerserialworld,0,2,0,1,0
twetthiphopi,0,0,0,0,1
twicebrasii,3,0,3,0,2
twilightsa,0,15,0,1,0
update_mlbb_shop,3,4,1,2,0
videosontime,0,1,0,1,0
vilhalva100_oficial,1,11,1,6,5
vipassanatechnique,4,3,2,1,0
vmessprotocol,0,0,0,0,1
warner_film,222,222,1,1,0
watermelontwinkling,124,451,17,15,0
weloveherry,0,507,0,11,0
wfh123kyat,1,51,1,6,0
wkko22222,0,73,0,2,0
wlmoviechannel,0,2,0,1,0
wlmoviechannel2,1,1,1,1,0
wooahbrasil,0,2,0,2,4
wwelite,1,65,1,2,1
wxyzwxyz19971991,3,367,1,9,0
wyhtetchannel,0,1,0,1,0
xtexicx,1,1,1,1,1
yadutheatre,73,185,2,11,0
yash_films,1,9,1,8,1
yekmovies,1,1,1,1,0
yeqingjie_gjg666,0,0,0,0,2
yg168mainchannel,0,0,0,0,1
yogurtanimeandmovie,0,71,0,1,0
zabanasliold,2,2,2,2,0
zabanasliserial,0,3,0,3,0
zarfilmztv,0,205,0,7,1
zeoxmovie2,0,1,0,1,0
